,Author,Editor,Paper,Affiliation,CompanyUniversity,Decision,Opinion
431,Walter Vogler,Delphine Longuet,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Intel,Company,Denied,Really good.
432,Ernst-Rüdiger Olderog,Delphine Longuet,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
433,Stefan Reisch,Delphine Longuet,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,UPC,University,Denied,Too much boring.
434,Arnold Schönhage,George Leih,State space axioms for T-systems.,UDL,University,Accepted,Too much boring.
435,Carlo Montangero,George Leih,State space axioms for T-systems.,Intel,Company,Accepted,Really good.
436,Hans Ulrich Simon,George Leih,State space axioms for T-systems.,UPC,University,Denied,Nice to know.
437,Ivan Hal Sudborough,George Leih,State space axioms for T-systems.,Intel,Company,Accepted,Really good.
438,Ernst-Rüdiger Olderog,George Leih,State space axioms for T-systems.,UPC,University,Denied,Really good.
439,Sanjeev Saxena,George Leih,State space axioms for T-systems.,UDL,University,Accepted,"Nice paper, but not too much interesting."
440,Hans Ulrich Simon,Delphine Longuet,Extended multi bottom-up tree transducers.,UPC,University,Accepted,Really good.
441,Juha Honkala,Delphine Longuet,Extended multi bottom-up tree transducers.,Intel,Company,Denied,Really good.
442,Christian Lengauer,Delphine Longuet,Extended multi bottom-up tree transducers.,Intel,Company,Accepted,Really good.
443,Arnold Schönhage,George Leih,The Clean Termination of Iterative Programs.,Intel,Company,Accepted,Really good.
444,Carol Critchlow,George Leih,The Clean Termination of Iterative Programs.,UPC,University,Accepted,Nice to know.
445,Sanjeev Saxena,George Leih,The Clean Termination of Iterative Programs.,UPC,University,Accepted,Too much boring.
446,Hans Ulrich Simon,Karl Meinke,Infinite Proof Rules for Loops.,Intel,Company,Accepted,Really good.
447,Maria Calzarossa,Karl Meinke,Infinite Proof Rules for Loops.,UDL,University,Denied,Too much boring.
448,Roland Meyer,Karl Meinke,Infinite Proof Rules for Loops.,UPC,University,Denied,"Nice paper, but not too much interesting."
449,Sanjeev Saxena,Karl Meinke,Infinite Proof Rules for Loops.,Intel,Company,Denied,Really good.
450,Norbert Blum,Karl Meinke,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Intel,Company,Accepted,Really good.
451,Nathan Goodman,Karl Meinke,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,UDL,University,Denied,Too much boring.
452,Sanjeev Saxena,Karl Meinke,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,UPC,University,Accepted,Really good.
453,Sanjeev Saxena,Karl Meinke,"Running a job on a collection of partly available machines, with on-line restarts.",Microsoft,Company,Accepted,Really good.
454,Oded Shmueli,Karl Meinke,"Running a job on a collection of partly available machines, with on-line restarts.",UDL,University,Denied,"Nice paper, but not too much interesting."
455,Norbert Blum,George Leih,Data Refinement by Calculation.,Microsoft,Company,Accepted,Really good.
456,Prakash Panangaden,George Leih,Data Refinement by Calculation.,UPC,University,Accepted,Nice to know.
457,Juha Honkala,Delphine Longuet,Program Refinement in Fair Transition Systems.,Intel,Company,Denied,Too much boring.
458,Ivan Hal Sudborough,Delphine Longuet,Program Refinement in Fair Transition Systems.,Microsoft,Company,Denied,Too much boring.
459,Sanjeev Saxena,Delphine Longuet,Program Refinement in Fair Transition Systems.,Microsoft,Company,Denied,Really good.
460,Nathan Goodman,Karl Meinke,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,UPC,University,Accepted,"Nice paper, but not too much interesting."
461,Arnold Schönhage,Karl Meinke,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Microsoft,Company,Accepted,Really good.
462,Oded Shmueli,George Leih,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",UDL,University,Accepted,"Nice paper, but not too much interesting."
463,Juha Honkala,George Leih,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",UDL,University,Accepted,Too much boring.
464,Sergei Gorlatch,Walter J. Savitch,On the Look-Ahead Problem in Lexical Analysis.,Intel,Company,Denied,Really good.
465,Hans Ulrich Simon,Walter J. Savitch,On the Look-Ahead Problem in Lexical Analysis.,Intel,Company,Denied,Too much boring.
466,Juha Honkala,Walter J. Savitch,On the Look-Ahead Problem in Lexical Analysis.,UDL,University,Denied,Too much boring.
467,M. Italiani,Walter J. Savitch,On the Look-Ahead Problem in Lexical Analysis.,UPC,University,Accepted,"Nice paper, but not too much interesting."
468,Oded Shmueli,Delphine Longuet,A theory of formal synthesis via inductive learning.,UDL,University,Accepted,Too much boring.
469,Ryszard Janicki,Delphine Longuet,A theory of formal synthesis via inductive learning.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
470,Oded Shmueli,Delphine Longuet,A theory of formal synthesis via inductive learning.,Microsoft,Company,Accepted,Nice to know.
471,Hans Ulrich Simon,Walter J. Savitch,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,UDL,University,Denied,"Nice paper, but not too much interesting."
472,Eric C. R. Hehner,Walter J. Savitch,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
473,Arnold Schönhage,Walter J. Savitch,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,UPC,University,Denied,Really good.
474,Hans Ulrich Simon,Walter J. Savitch,Data Encodings and Their Costs.,UDL,University,Denied,"Nice paper, but not too much interesting."
475,Norbert Blum,Walter J. Savitch,Data Encodings and Their Costs.,UDL,University,Accepted,"Nice paper, but not too much interesting."
476,Juha Honkala,Walter J. Savitch,Data Encodings and Their Costs.,UDL,University,Denied,Really good.
477,Oded Shmueli,Walter J. Savitch,Data Encodings and Their Costs.,UPC,University,Denied,"Nice paper, but not too much interesting."
478,Joachim Biskup,Delphine Longuet,Hierarchies of Complete Problems.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
479,Nathan Goodman,Delphine Longuet,Hierarchies of Complete Problems.,Microsoft,Company,Denied,Nice to know.
480,Christian Lengauer,Delphine Longuet,Hierarchies of Complete Problems.,Microsoft,Company,Denied,Too much boring.
481,Hans Ulrich Simon,Delphine Longuet,Hierarchies of Complete Problems.,UDL,University,Denied,"Nice paper, but not too much interesting."
482,Prakash Panangaden,Delphine Longuet,Hierarchies of Complete Problems.,Intel,Company,Denied,Nice to know.
483,Stefan Reisch,Delphine Longuet,Hierarchies of Complete Problems.,Microsoft,Company,Accepted,Too much boring.
484,Oded Shmueli,Karl Meinke,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Intel,Company,Denied,Really good.
485,Norbert Blum,Karl Meinke,Ein Vollständigkeitssatz für Programme und Schaltkreise.,UPC,University,Denied,Really good.
486,Norbert Blum,Karl Meinke,Type-based information flow analysis for the pi-calculus.,Intel,Company,Accepted,Nice to know.
487,Juha Honkala,Karl Meinke,Type-based information flow analysis for the pi-calculus.,UPC,University,Denied,Nice to know.
488,Nathan Goodman,Karl Meinke,Type-based information flow analysis for the pi-calculus.,UDL,University,Denied,Too much boring.
489,Christian Lengauer,Karl Meinke,Type-based information flow analysis for the pi-calculus.,UDL,University,Accepted,"Nice paper, but not too much interesting."
490,Joachim Biskup,Karl Meinke,Type-based information flow analysis for the pi-calculus.,Microsoft,Company,Denied,Nice to know.
491,Eric C. R. Hehner,Karl Meinke,Type-based information flow analysis for the pi-calculus.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
492,Arnold Schönhage,Karl Meinke,Sur une Conjecture de S. Greibach.,UDL,University,Denied,"Nice paper, but not too much interesting."
493,Nathan Goodman,Karl Meinke,Sur une Conjecture de S. Greibach.,Microsoft,Company,Accepted,Nice to know.
494,Oded Shmueli,Karl Meinke,Sur une Conjecture de S. Greibach.,Intel,Company,Denied,"Nice paper, but not too much interesting."
495,Andrzej Ehrenfeucht,Delphine Longuet,A Conservation Law for G/G/m Queueing Systems.,UPC,University,Denied,Nice to know.
496,Norbert Blum,Delphine Longuet,A Conservation Law for G/G/m Queueing Systems.,Intel,Company,Accepted,Too much boring.
497,Oded Shmueli,Karl Meinke,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,UDL,University,Denied,Really good.
498,Juha Honkala,Karl Meinke,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Microsoft,Company,Accepted,Too much boring.
499,Nathan Goodman,Karl Meinke,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,UDL,University,Accepted,Nice to know.
500,Sanjeev Saxena,Walter J. Savitch,Context-Free Graph Grammars and Concatenation of Graphs.,UPC,University,Accepted,Too much boring.
501,Ryszard Janicki,Walter J. Savitch,Context-Free Graph Grammars and Concatenation of Graphs.,Intel,Company,Denied,"Nice paper, but not too much interesting."
502,Christian Lengauer,Walter J. Savitch,Context-Free Graph Grammars and Concatenation of Graphs.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
503,Nathan Goodman,Walter J. Savitch,Context-Free Graph Grammars and Concatenation of Graphs.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
504,Hans Ulrich Simon,George Leih,On a Class of Recursive Procedures and Equivalent Iterative Ones.,UPC,University,Accepted,Nice to know.
505,Oded Shmueli,George Leih,On a Class of Recursive Procedures and Equivalent Iterative Ones.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
506,Antonella Santone,George Leih,On a Class of Recursive Procedures and Equivalent Iterative Ones.,UDL,University,Denied,Nice to know.
507,Sanjeev Saxena,George Leih,On a Class of Recursive Procedures and Equivalent Iterative Ones.,UDL,University,Denied,Nice to know.
508,Nathan Goodman,George Leih,Algorithms for Fast Evaluation of Boolean Expressions.,Intel,Company,Denied,"Nice paper, but not too much interesting."
509,Arnold Schönhage,George Leih,Algorithms for Fast Evaluation of Boolean Expressions.,Intel,Company,Accepted,Really good.
510,William R. Franta,George Leih,Algorithms for Fast Evaluation of Boolean Expressions.,Microsoft,Company,Accepted,Too much boring.
511,Oded Shmueli,George Leih,Algorithms for Fast Evaluation of Boolean Expressions.,Microsoft,Company,Accepted,Really good.
512,Ryszard Janicki,Delphine Longuet,A general account of coinduction up-to.,Intel,Company,Accepted,Really good.
513,Oded Shmueli,Delphine Longuet,A general account of coinduction up-to.,Microsoft,Company,Denied,Nice to know.
514,Juha Honkala,Delphine Longuet,A general account of coinduction up-to.,UDL,University,Accepted,Too much boring.
515,Nathan Goodman,Delphine Longuet,A Comparison of Two Synchronizing Concepts.,UDL,University,Accepted,Too much boring.
516,Sanjeev Saxena,Delphine Longuet,A Comparison of Two Synchronizing Concepts.,UPC,University,Denied,Nice to know.
517,Yijie Han,Walter J. Savitch,How to Calculate Symmetries of Petri Nets.,Microsoft,Company,Denied,Nice to know.
518,Sanjeev Saxena,Walter J. Savitch,How to Calculate Symmetries of Petri Nets.,Microsoft,Company,Denied,Really good.
519,Arnold Schönhage,Walter J. Savitch,How to Calculate Symmetries of Petri Nets.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
520,Nathan Goodman,Delphine Longuet,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",Intel,Company,Denied,Really good.
521,William R. Franta,Delphine Longuet,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",UPC,University,Accepted,"Nice paper, but not too much interesting."
522,Hans Ulrich Simon,Walter J. Savitch,Recognizability of graph and pattern languages.,UPC,University,Denied,"Nice paper, but not too much interesting."
523,Walter Vogler,Walter J. Savitch,Recognizability of graph and pattern languages.,UDL,University,Denied,Nice to know.
524,Christian Ronse,Walter J. Savitch,Recognizability of graph and pattern languages.,Microsoft,Company,Denied,Really good.
525,Nathan Goodman,Walter J. Savitch,Recognizability of graph and pattern languages.,UPC,University,Accepted,Nice to know.
526,Juha Honkala,George Leih,The Synthesis Problem of Petri Nets.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
527,Arnold Schönhage,George Leih,The Synthesis Problem of Petri Nets.,UDL,University,Denied,Too much boring.
528,Nathan Goodman,George Leih,The Synthesis Problem of Petri Nets.,Intel,Company,Accepted,Really good.
529,Sanjeev Saxena,Delphine Longuet,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
530,Juha Honkala,Delphine Longuet,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,UPC,University,Accepted,"Nice paper, but not too much interesting."
531,Hans Ulrich Simon,Delphine Longuet,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,Intel,Company,Denied,"Nice paper, but not too much interesting."
532,Sanjeev Saxena,Delphine Longuet,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,UPC,University,Accepted,Too much boring.
533,Nathan Goodman,Delphine Longuet,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,Intel,Company,Denied,Really good.
534,Sanjeev Saxena,Delphine Longuet,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,Microsoft,Company,Denied,Really good.
535,Ursula Goltz,Delphine Longuet,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,UDL,University,Accepted,"Nice paper, but not too much interesting."
536,Nathan Goodman,George Leih,On weighted first-order logics with discounting.,UDL,University,Accepted,Nice to know.
537,Norbert Blum,George Leih,On weighted first-order logics with discounting.,UPC,University,Accepted,"Nice paper, but not too much interesting."
538,Eric C. R. Hehner,George Leih,On weighted first-order logics with discounting.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
539,Vincent Vajnovszki,George Leih,On weighted first-order logics with discounting.,Microsoft,Company,Accepted,Too much boring.
540,Juha Honkala,George Leih,On weighted first-order logics with discounting.,UDL,University,Accepted,Too much boring.
541,Ryszard Janicki,George Leih,On weighted first-order logics with discounting.,UDL,University,Denied,Too much boring.
542,Arnold Schönhage,George Leih,On weighted first-order logics with discounting.,Intel,Company,Denied,"Nice paper, but not too much interesting."
543,Juha Honkala,George Leih,On weighted first-order logics with discounting.,Intel,Company,Accepted,Really good.
544,Nathan Goodman,George Leih,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,UPC,University,Accepted,Too much boring.
545,Oded Shmueli,George Leih,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,Microsoft,Company,Denied,Nice to know.
546,Oded Shmueli,Karl Meinke,"Demonic, angelic and unbounded probabilistic choices in sequential programs.",UDL,University,Denied,Nice to know.
547,Arnold Schönhage,Karl Meinke,"Demonic, angelic and unbounded probabilistic choices in sequential programs.",Intel,Company,Accepted,"Nice paper, but not too much interesting."
548,Juha Honkala,Karl Meinke,"Demonic, angelic and unbounded probabilistic choices in sequential programs.",Intel,Company,Accepted,Nice to know.
549,Nathan Goodman,George Leih,An Efficiency Preorder for Processes.,Intel,Company,Accepted,Too much boring.
550,Sergei Gorlatch,George Leih,An Efficiency Preorder for Processes.,UPC,University,Accepted,Nice to know.
551,Sanjeev Saxena,Delphine Longuet,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,Intel,Company,Accepted,Really good.
552,Christian Ronse,Delphine Longuet,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
553,Hans Ulrich Simon,Delphine Longuet,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,UDL,University,Accepted,"Nice paper, but not too much interesting."
554,Maciej Koutny,Delphine Longuet,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,Microsoft,Company,Accepted,Really good.
555,Hans Ulrich Simon,Delphine Longuet,Modeling Splits in File Structures.,Intel,Company,Denied,Really good.
556,Arnold Schönhage,Delphine Longuet,Modeling Splits in File Structures.,UDL,University,Denied,Really good.
557,Christian Lengauer,Delphine Longuet,Modeling Splits in File Structures.,UDL,University,Denied,"Nice paper, but not too much interesting."
558,Christian Stahl,Delphine Longuet,Modeling Splits in File Structures.,UPC,University,Accepted,Really good.
559,Hans Ulrich Simon,Delphine Longuet,Modeling Splits in File Structures.,Intel,Company,Accepted,Too much boring.
560,William R. Franta,Delphine Longuet,Modeling Splits in File Structures.,UDL,University,Denied,Really good.
561,Carlo Montangero,Delphine Longuet,Modeling Splits in File Structures.,Intel,Company,Denied,"Nice paper, but not too much interesting."
562,Arnold Schönhage,Walter J. Savitch,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,UPC,University,Accepted,"Nice paper, but not too much interesting."
563,Hans Ulrich Simon,Walter J. Savitch,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,UDL,University,Denied,Nice to know.
564,Juha Honkala,Walter J. Savitch,Synchronized regular expressions.,UDL,University,Accepted,Nice to know.
565,Sanjeev Saxena,Walter J. Savitch,Synchronized regular expressions.,Intel,Company,Denied,Too much boring.
566,Arnold Schönhage,Walter J. Savitch,Synchronized regular expressions.,UPC,University,Accepted,Too much boring.
567,Robin Milner,George Leih,On regular tree languages and deterministic pushdown automata.,Intel,Company,Denied,Nice to know.
568,Hans Ulrich Simon,George Leih,On regular tree languages and deterministic pushdown automata.,UDL,University,Accepted,Really good.
569,Ivan Hal Sudborough,Walter J. Savitch,A Modal Logic for Message Passing Processes.,UPC,University,Denied,Too much boring.
570,Ryszard Janicki,Walter J. Savitch,A Modal Logic for Message Passing Processes.,UDL,University,Accepted,"Nice paper, but not too much interesting."
571,Sanjeev Saxena,Walter J. Savitch,A Modal Logic for Message Passing Processes.,UPC,University,Accepted,Nice to know.
572,Alex Kondratyev,Walter J. Savitch,A Modal Logic for Message Passing Processes.,Intel,Company,Denied,Really good.
573,Arnold Schönhage,Delphine Longuet,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,Microsoft,Company,Denied,Really good.
574,Sanjeev Saxena,Delphine Longuet,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,UPC,University,Accepted,Too much boring.
575,Juha Honkala,Delphine Longuet,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,UDL,University,Accepted,"Nice paper, but not too much interesting."
576,Joachim Biskup,Walter J. Savitch,Does indirect addressing matter? - A note.,UPC,University,Accepted,Nice to know.
577,Norbert Blum,Walter J. Savitch,Does indirect addressing matter? - A note.,UPC,University,Accepted,Really good.
578,Sanjeev Saxena,Walter J. Savitch,Does indirect addressing matter? - A note.,UDL,University,Accepted,Too much boring.
579,Hans Ulrich Simon,Walter J. Savitch,Does indirect addressing matter? - A note.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
580,Nathan Goodman,George Leih,Reasoning Algebraically about Loops.,UDL,University,Accepted,Really good.
581,Arnold Schönhage,George Leih,Reasoning Algebraically about Loops.,Microsoft,Company,Accepted,Really good.
582,Nathan Goodman,George Leih,Reasoning Algebraically about Loops.,UPC,University,Denied,Too much boring.
583,Arnold Schönhage,Karl Meinke,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,UDL,University,Denied,Nice to know.
584,Juha Honkala,Karl Meinke,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,UDL,University,Accepted,Too much boring.
585,Giuseppe Serazzi,Karl Meinke,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,UDL,University,Accepted,"Nice paper, but not too much interesting."
586,Juha Honkala,George Leih,Trace Nets and Process Automata.,Intel,Company,Accepted,Too much boring.
587,Arnold Schönhage,George Leih,Trace Nets and Process Automata.,Intel,Company,Accepted,Nice to know.
588,Oded Shmueli,George Leih,Trace Nets and Process Automata.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
589,Chua-Huang Huang,Walter J. Savitch,Metric propositional neighborhood logic with an equivalence relation.,UDL,University,Accepted,"Nice paper, but not too much interesting."
590,Oded Shmueli,Walter J. Savitch,Metric propositional neighborhood logic with an equivalence relation.,UPC,University,Accepted,Nice to know.
591,Oded Shmueli,George Leih,A Principle of Independence for Binary Tree Searching.,UPC,University,Accepted,Nice to know.
592,Ernst-Rüdiger Olderog,George Leih,A Principle of Independence for Binary Tree Searching.,UDL,University,Denied,Really good.
593,Vincent Vajnovszki,Karl Meinke,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
594,Hans Ulrich Simon,Karl Meinke,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
595,Ursula Goltz,Delphine Longuet,The Paging Drum Queue: A Uniform Perspective and Further Results.,Microsoft,Company,Denied,Really good.
596,Christian Lengauer,Delphine Longuet,The Paging Drum Queue: A Uniform Perspective and Further Results.,Microsoft,Company,Accepted,Too much boring.
597,X. J. Chen,Delphine Longuet,The Paging Drum Queue: A Uniform Perspective and Further Results.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
598,Oded Shmueli,Walter J. Savitch,The Undecidability of the Unification and Matching Problem for Canonical Theories.,Microsoft,Company,Denied,Too much boring.
599,Hans Ulrich Simon,Walter J. Savitch,The Undecidability of the Unification and Matching Problem for Canonical Theories.,UDL,University,Accepted,Really good.
600,Ryszard Janicki,Walter J. Savitch,The Programming Language Pascal.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
601,Carlo Montangero,Walter J. Savitch,The Programming Language Pascal.,Intel,Company,Denied,Really good.
602,Juha Honkala,George Leih,"Semantics, calculi, and analysis for object-oriented specifications.",UDL,University,Denied,"Nice paper, but not too much interesting."
603,Arnold Schönhage,George Leih,"Semantics, calculi, and analysis for object-oriented specifications.",UPC,University,Denied,"Nice paper, but not too much interesting."
604,Norbert Blum,George Leih,"Semantics, calculi, and analysis for object-oriented specifications.",Microsoft,Company,Denied,Nice to know.
605,Wim H. Hesselink,George Leih,"Semantics, calculi, and analysis for object-oriented specifications.",Intel,Company,Denied,Really good.
606,Roland Meyer,Karl Meinke,Inhibitionsfelder.,UPC,University,Accepted,Really good.
607,Arnold Schönhage,Karl Meinke,Inhibitionsfelder.,UPC,University,Accepted,Really good.
608,X. J. Chen,Karl Meinke,Inhibitionsfelder.,UDL,University,Accepted,Nice to know.
609,Oded Shmueli,Karl Meinke,Inhibitionsfelder.,Microsoft,Company,Accepted,Nice to know.
610,Vincent Vajnovszki,Karl Meinke,Inhibitionsfelder.,UDL,University,Denied,Too much boring.
611,Christian Lengauer,Walter J. Savitch,Head and state hierarchies for unary multi-head finite automata.,Intel,Company,Denied,Too much boring.
612,Arnold Schönhage,Walter J. Savitch,Head and state hierarchies for unary multi-head finite automata.,Intel,Company,Accepted,Too much boring.
613,Oded Shmueli,Walter J. Savitch,Head and state hierarchies for unary multi-head finite automata.,UDL,University,Denied,Too much boring.
614,Richard Müller 0001,Walter J. Savitch,Head and state hierarchies for unary multi-head finite automata.,Intel,Company,Accepted,Nice to know.
615,Nathan Goodman,Walter J. Savitch,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Intel,Company,Accepted,Really good.
616,Oded Shmueli,Walter J. Savitch,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,UDL,University,Accepted,Too much boring.
617,Hans Ulrich Simon,Walter J. Savitch,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,UPC,University,Denied,"Nice paper, but not too much interesting."
618,Norbert Blum,Walter J. Savitch,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,UDL,University,Denied,Really good.
619,Sanjeev Saxena,Walter J. Savitch,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Intel,Company,Accepted,Nice to know.
620,Hans Ulrich Simon,Walter J. Savitch,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Intel,Company,Denied,"Nice paper, but not too much interesting."
621,Carlo Montangero,Walter J. Savitch,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Microsoft,Company,Accepted,Too much boring.
622,Carlo Montangero,Karl Meinke,The stuttering principle revisited.,Intel,Company,Denied,Too much boring.
623,Nathan Goodman,Karl Meinke,The stuttering principle revisited.,UDL,University,Accepted,Too much boring.
624,Richard Müller 0001,Delphine Longuet,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,UPC,University,Denied,Really good.
625,Christian Ronse,Delphine Longuet,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
626,M. Italiani,George Leih,Lazy Structure Sharing for Query Optimization.,UDL,University,Denied,Too much boring.
627,Nathan Goodman,George Leih,Lazy Structure Sharing for Query Optimization.,UDL,University,Denied,Too much boring.
628,Sanjeev Saxena,George Leih,Lazy Structure Sharing for Query Optimization.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
629,Sanjeev Saxena,George Leih,Fair ambients.,Microsoft,Company,Denied,Really good.
630,Norbert Blum,George Leih,Fair ambients.,UDL,University,Accepted,"Nice paper, but not too much interesting."
631,Arnold Schönhage,Delphine Longuet,Concurrent Access to Data.,Intel,Company,Accepted,Really good.
632,Norbert Blum,Delphine Longuet,Concurrent Access to Data.,UPC,University,Accepted,Nice to know.
633,Hans Ulrich Simon,Delphine Longuet,Concurrent Access to Data.,UPC,University,Denied,Too much boring.
634,Arnold Schönhage,Karl Meinke,Relaxed red-black trees with group updates.,Microsoft,Company,Denied,Really good.
635,Yijie Han,Karl Meinke,Relaxed red-black trees with group updates.,UPC,University,Accepted,Too much boring.
636,Arnold Schönhage,Karl Meinke,Relaxed red-black trees with group updates.,UDL,University,Accepted,Really good.
637,Oded Shmueli,Karl Meinke,Relaxed red-black trees with group updates.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
638,Sergei Gorlatch,Delphine Longuet,Generation of Efficient ,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
639,Nathan Goodman,Delphine Longuet,Generation of Efficient ,Microsoft,Company,Denied,Nice to know.
640,Arnold Schönhage,Walter J. Savitch,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,UPC,University,Accepted,Too much boring.
641,Nathan Goodman,Walter J. Savitch,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,UDL,University,Denied,Really good.
642,Sanjeev Saxena,Walter J. Savitch,Priority Conflict-Free Petri Nets.,UDL,University,Accepted,Really good.
643,Juha Honkala,Walter J. Savitch,Priority Conflict-Free Petri Nets.,Intel,Company,Accepted,Too much boring.
644,William R. Franta,Walter J. Savitch,Priority Conflict-Free Petri Nets.,UDL,University,Accepted,"Nice paper, but not too much interesting."
645,Yoshihide Igarashi,Walter J. Savitch,Priority Conflict-Free Petri Nets.,UDL,University,Denied,"Nice paper, but not too much interesting."
646,Nathan Goodman,Walter J. Savitch,Priority Conflict-Free Petri Nets.,UPC,University,Accepted,Nice to know.
647,Sanjeev Saxena,Walter J. Savitch,Priority Conflict-Free Petri Nets.,Intel,Company,Accepted,Too much boring.
648,Oded Shmueli,George Leih,Optimum Multiway Search Trees.,UPC,University,Accepted,Too much boring.
649,Nathan Goodman,George Leih,Optimum Multiway Search Trees.,Intel,Company,Denied,Really good.
650,Victor Khomenko,George Leih,Optimum Multiway Search Trees.,UPC,University,Accepted,Too much boring.
651,John Darlington,George Leih,Optimum Multiway Search Trees.,Intel,Company,Denied,Really good.
652,Richard Müller 0001,Walter J. Savitch,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,UDL,University,Accepted,Really good.
653,Nathan Goodman,Walter J. Savitch,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,UDL,University,Accepted,"Nice paper, but not too much interesting."
654,Norbert Blum,George Leih,Parallel Integer Sorting Using Small Operations.,UDL,University,Accepted,"Nice paper, but not too much interesting."
