,paper,reference
1057,"Semantics, calculi, and analysis for object-oriented specifications.",Contextual Nets.
1058,"Semantics, calculi, and analysis for object-oriented specifications.",Eliminating Unit Productions from LR Parsers.
1059,Inhibitionsfelder.,Stochastic cooperative distributed grammar systems and random graphs.
1060,Inhibitionsfelder.,Pattern Matching in Trees and Nets.
1061,Inhibitionsfelder.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
1062,Head and state hierarchies for unary multi-head finite automata.,Bounded Quantification and Relations Recognizable by Finite Automata.
1063,Head and state hierarchies for unary multi-head finite automata.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
1064,Head and state hierarchies for unary multi-head finite automata.,What is Failure? An Approach to Constructive Negation.
1065,Head and state hierarchies for unary multi-head finite automata.,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
1066,Head and state hierarchies for unary multi-head finite automata.,Automatic Correction of Syntax-Errors in Programming Languages.
1067,Head and state hierarchies for unary multi-head finite automata.,Program Refinement in Fair Transition Systems.
1068,Head and state hierarchies for unary multi-head finite automata.,Data Encodings and Their Costs.
1069,Head and state hierarchies for unary multi-head finite automata.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
1070,Head and state hierarchies for unary multi-head finite automata.,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.
1071,Head and state hierarchies for unary multi-head finite automata.,Synchronized regular expressions.
1072,Head and state hierarchies for unary multi-head finite automata.,Fair ambients.
1073,Head and state hierarchies for unary multi-head finite automata.,Relaxed red-black trees with group updates.
1074,Head and state hierarchies for unary multi-head finite automata.,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.
1075,Head and state hierarchies for unary multi-head finite automata.,Performance Evaluation of Fork and Join Synchronization Primitives.
1076,Head and state hierarchies for unary multi-head finite automata.,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.
1077,Head and state hierarchies for unary multi-head finite automata.,A characterization of rational D0L power series.
1078,Head and state hierarchies for unary multi-head finite automata.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
1079,Head and state hierarchies for unary multi-head finite automata.,A Three-Stage Construction for Multiconnection Networks.
1080,Head and state hierarchies for unary multi-head finite automata.,Computational Algorithms for Networks of Queues with Rejection Blocking.
1081,Head and state hierarchies for unary multi-head finite automata.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
1082,Head and state hierarchies for unary multi-head finite automata.,Functional Behavior in Data Spaces.
1083,Head and state hierarchies for unary multi-head finite automata.,A Note on Multihead Automata and Context-Sensitive Languages
1084,Head and state hierarchies for unary multi-head finite automata.,Contextual Nets.
1085,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,What is Failure? An Approach to Constructive Negation.
1086,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Another Polynomial Homomorphism.
1087,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,On the Look-Ahead Problem in Lexical Analysis.
1088,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Type-based information flow analysis for the pi-calculus.
1089,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,"Demonic, angelic and unbounded probabilistic choices in sequential programs."
1090,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,An Efficiency Preorder for Processes.
1091,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Metric propositional neighborhood logic with an equivalence relation.
1092,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,The Undecidability of the Unification and Matching Problem for Canonical Theories.
1093,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,On the Power of Chain Rules in Context Free Grammars.
1094,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,The Expressive Power of Delay Operators in SCCS.
1095,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Trace- and failure-based semantics for responsiveness.
1096,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Least Upper Bound on the Cost of Optimum Binary Search Trees.
1097,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Hex ist PSPACE-vollständig.
1098,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Automatic verification of concurrent systems using a formula-based compositional approach.
1099,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Contextual Nets.
1100,The stuttering principle revisited.,A Complete Algebraic Characterization of Behavioral Subtyping.
1101,The stuttering principle revisited.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
1102,The stuttering principle revisited.,Data Encodings and Their Costs.
1103,The stuttering principle revisited.,Type-based information flow analysis for the pi-calculus.
1104,The stuttering principle revisited.,Inhibitionsfelder.
1105,The stuttering principle revisited.,Parallel Integer Sorting Using Small Operations.
1106,The stuttering principle revisited.,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.
1107,The stuttering principle revisited.,Liveness of a mutex algorithm in a fair process algebra.
1108,The stuttering principle revisited.,Complexity Theory and the Operational Structure of Algebraic Programming Systems.
1109,The stuttering principle revisited.,Formal Derivation of Strongly Correct Concurrent Programs.
1110,The stuttering principle revisited.,A Synthesis of Several Sorting Algorithms.
1111,The stuttering principle revisited.,A Workload Model Representative of Static and Dynamic Characteristics.
1112,The stuttering principle revisited.,Least Upper Bound on the Cost of Optimum Binary Search Trees.
1113,The stuttering principle revisited.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
1114,The stuttering principle revisited.,On an Equivalence between Continuation and Stack Semantics.
1115,The stuttering principle revisited.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
1116,The stuttering principle revisited.,The Parsing Problem for Affix Grammars.
1117,The stuttering principle revisited.,Applying relation algebra and Rel View to solve problems on orders and lattices.
1118,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Instruction sequence processing operators.
1119,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,STG decomposition strategies in combination with unfolding.
1120,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
1121,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
1122,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Algorithms for Fast Evaluation of Boolean Expressions.
1123,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,A Comparison of Two Synchronizing Concepts.
1124,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Recognizability of graph and pattern languages.
1125,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Reasoning Algebraically about Loops.
1126,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Some properties of the disjunctive languages contained in 
1127,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Optimal Multiprogramming.
1128,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Correctness of the Compiling Process Based on Axiomatic Semantics.
1129,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Compositional Refinements in Multiple Blackboard Systems.
1130,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Eliminating Unit Productions from LR Parsers.
1131,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,On Parallel Integer Sorting.
1132,Lazy Structure Sharing for Query Optimization.,Rules of Inference for Procedure Calls.
1133,Lazy Structure Sharing for Query Optimization.,A note on autodense related languages.
1134,Lazy Structure Sharing for Query Optimization.,On the Look-Ahead Problem in Lexical Analysis.
1135,Lazy Structure Sharing for Query Optimization.,A Conservation Law for G/G/m Queueing Systems.
1136,Lazy Structure Sharing for Query Optimization.,"Semantics, calculi, and analysis for object-oriented specifications."
1137,Lazy Structure Sharing for Query Optimization.,Lazy Structure Sharing for Query Optimization.
1138,Lazy Structure Sharing for Query Optimization.,Some properties of the disjunctive languages contained in 
1139,Lazy Structure Sharing for Query Optimization.,Models for Reactivity.
1140,Lazy Structure Sharing for Query Optimization.,Paramodulated Connection Graphs.
1141,Lazy Structure Sharing for Query Optimization.,"Invariants, Composition, and Substitution."
1142,Lazy Structure Sharing for Query Optimization.,On an Equivalence between Continuation and Stack Semantics.
1143,Lazy Structure Sharing for Query Optimization.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
1144,Lazy Structure Sharing for Query Optimization.,The Parsing Problem for Affix Grammars.
1145,Lazy Structure Sharing for Query Optimization.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
1146,Fair ambients.,Instruction sequence processing operators.
1147,Fair ambients.,On the Synchronization in Parallel Communicating Grammar Systems.
1148,Fair ambients.,Optimizing the Costs of Hierarchical Quorum Consensus.
1149,Fair ambients.,The Clean Termination of Iterative Programs.
1150,Fair ambients.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
1151,Fair ambients.,On the Look-Ahead Problem in Lexical Analysis.
1152,Fair ambients.,A theory of formal synthesis via inductive learning.
1153,Fair ambients.,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.
1154,Fair ambients.,Reasoning Algebraically about Loops.
1155,Fair ambients.,Metric propositional neighborhood logic with an equivalence relation.
1156,Fair ambients.,The Undecidability of the Unification and Matching Problem for Canonical Theories.
1157,Fair ambients.,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.
1158,Fair ambients.,Liveness of a mutex algorithm in a fair process algebra.
1159,Fair ambients.,Backtracking in Recursive Computations.
1160,Fair ambients.,Gray visiting Motzkins.
1161,Fair ambients.,Efficient controller synthesis for a fragment of MTL
1162,Fair ambients.,Worst Case Performance of Weighted Buddy Systems.
1163,Concurrent Access to Data.,Performance Preorder and Competitive Equivalence.
1164,Concurrent Access to Data.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
1165,Concurrent Access to Data.,On Removing the Machine from the Language.
1166,Concurrent Access to Data.,The Parsing Problem for Affix Grammars.
1167,Relaxed red-black trees with group updates.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
1168,Relaxed red-black trees with group updates.,Rules of Inference for Procedure Calls.
1169,Relaxed red-black trees with group updates.,Infinite Proof Rules for Loops.
1170,Relaxed red-black trees with group updates.,A theory of formal synthesis via inductive learning.
1171,Relaxed red-black trees with group updates.,On a Class of Recursive Procedures and Equivalent Iterative Ones.
1172,Relaxed red-black trees with group updates.,Concurrent Access to Data.
1173,Relaxed red-black trees with group updates.,Relaxed red-black trees with group updates.
1174,Relaxed red-black trees with group updates.,The Expressive Power of Delay Operators in SCCS.
1175,Relaxed red-black trees with group updates.,Calculi for Interaction.
1176,Relaxed red-black trees with group updates.,Branching Processes in the Analysis of the Heights of Trees.
1177,Relaxed red-black trees with group updates.,A Note on the Density of Inherently Ambiguous Context-free Languages.
1178,Generation of Efficient ,Concurrent Bisimulations in Petri Nets.
1179,Generation of Efficient ,Extended multi bottom-up tree transducers.
1180,Generation of Efficient ,Hierarchies of Complete Problems.
1181,Generation of Efficient ,Performance Evaluation of Fork and Join Synchronization Primitives.
1182,Generation of Efficient ,A new natural structural congruence in the pi-calculus with replication.
1183,Generation of Efficient ,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
1184,Generation of Efficient ,Trace- and failure-based semantics for responsiveness.
1185,Generation of Efficient ,Maximum Entropy and the 
1186,Generation of Efficient ,On an Equivalence between Continuation and Stack Semantics.
1187,Generation of Efficient ,Best Huffman Trees.
1188,Generation of Efficient ,Worst Case Performance of Weighted Buddy Systems.
1189,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,A Complete Algebraic Characterization of Behavioral Subtyping.
1190,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
1191,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Probabilistic bisimulation for realistic schedulers.
1192,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,State complexity of deletion and bipolar deletion.
1193,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Special issue: Synthesis and SYNT 2014.
1194,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Gobang ist PSPACE-vollständig.
1195,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,A theory of formal synthesis via inductive learning.
1196,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,On a Class of Recursive Procedures and Equivalent Iterative Ones.
1197,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Reasoning Algebraically about Loops.
1198,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Some properties of the disjunctive languages contained in 
1199,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,A new natural structural congruence in the pi-calculus with replication.
1200,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Performance Preorder and Competitive Equivalence.
1201,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,A Note on Synthesis and Classification of Sorting Algorithms.
1202,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,The Expressive Power of Delay Operators in SCCS.
1203,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Gray visiting Motzkins.
1204,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Hex ist PSPACE-vollständig.
1205,Priority Conflict-Free Petri Nets.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
1206,Priority Conflict-Free Petri Nets.,Weakly Context-Sensitive Languages as Model for Programming Languages.
1207,Priority Conflict-Free Petri Nets.,High Level Tree Transducers and Iterated Pushdown Tree Transducers.
1208,Priority Conflict-Free Petri Nets.,Automatic Correction of Syntax-Errors in Programming Languages.
1209,Priority Conflict-Free Petri Nets.,Representation and uniformization of algebraic transductions.
1210,Priority Conflict-Free Petri Nets.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
1211,Priority Conflict-Free Petri Nets.,On the Look-Ahead Problem in Lexical Analysis.
1212,Priority Conflict-Free Petri Nets.,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
1213,Priority Conflict-Free Petri Nets.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
1214,Priority Conflict-Free Petri Nets.,Relaxed red-black trees with group updates.
1215,Priority Conflict-Free Petri Nets.,Optimum Multiway Search Trees.
1216,Priority Conflict-Free Petri Nets.,A new natural structural congruence in the pi-calculus with replication.
1217,Priority Conflict-Free Petri Nets.,Models for Reactivity.
1218,Priority Conflict-Free Petri Nets.,Paramodulated Connection Graphs.
1219,Priority Conflict-Free Petri Nets.,A Three-Stage Construction for Multiconnection Networks.
1220,Priority Conflict-Free Petri Nets.,A theory of structural stationarity in the 
1221,Priority Conflict-Free Petri Nets.,Hex ist PSPACE-vollständig.
1222,Priority Conflict-Free Petri Nets.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
1223,Priority Conflict-Free Petri Nets.,Persistence of Vector Replacement Systems is Decidable.
1224,Priority Conflict-Free Petri Nets.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
1225,Priority Conflict-Free Petri Nets.,On Parallel Integer Sorting.
1226,Optimum Multiway Search Trees.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
1227,Optimum Multiway Search Trees.,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
1228,Optimum Multiway Search Trees.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
1229,Optimum Multiway Search Trees.,A theory of formal synthesis via inductive learning.
1230,Optimum Multiway Search Trees.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
1231,Optimum Multiway Search Trees.,Does indirect addressing matter? - A note.
1232,Optimum Multiway Search Trees.,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.
1233,Optimum Multiway Search Trees.,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.
1234,Optimum Multiway Search Trees.,The stuttering principle revisited.
1235,Optimum Multiway Search Trees.,Generation of Efficient 
1236,Optimum Multiway Search Trees.,MAT learners for tree series: an abstract data type and two realizations.
1237,Optimum Multiway Search Trees.,The Lattice of Data Refinement.
1238,Optimum Multiway Search Trees.,Backtracking in Recursive Computations.
1239,Optimum Multiway Search Trees.,A first step in characterizing three-element codes.
1240,Optimum Multiway Search Trees.,On the Power of Chain Rules in Context Free Grammars.
1241,Optimum Multiway Search Trees.,A Workload Model Representative of Static and Dynamic Characteristics.
1242,Optimum Multiway Search Trees.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
1243,Optimum Multiway Search Trees.,Efficient controller synthesis for a fragment of MTL
1244,Optimum Multiway Search Trees.,On Efficient Entreeings.
1245,Optimum Multiway Search Trees.,Contextual Nets.
1246,Optimum Multiway Search Trees.,COSY - A System Specification Language Based on Paths and Processes.
1247,Optimum Multiway Search Trees.,Applying relation algebra and Rel View to solve problems on orders and lattices.
1248,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,A Complete Algebraic Characterization of Behavioral Subtyping.
1249,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,Special issue: Synthesis and SYNT 2014.
1250,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,Correctness of the Compiling Process Based on Axiomatic Semantics.
1251,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
1252,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
1253,Parallel Integer Sorting Using Small Operations.,Infinite Proof Rules for Loops.
1254,Parallel Integer Sorting Using Small Operations.,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.
1255,Parallel Integer Sorting Using Small Operations.,Concurrent Access to Data.
1256,Parallel Integer Sorting Using Small Operations.,NP-complete Problems Simplified on Tree Schemas.
1257,Parallel Integer Sorting Using Small Operations.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
1258,Parallel Integer Sorting Using Small Operations.,Dispatcher Primitives for the Construction of Operating System Kernels.
1259,Parallel Integer Sorting Using Small Operations.,COSY - A System Specification Language Based on Paths and Processes.
1260,Stochastic cooperative distributed grammar systems and random graphs.,Hierarchies of Complete Problems.
1261,Stochastic cooperative distributed grammar systems and random graphs.,Calculi for Interaction.
1262,Performance Evaluation of Fork and Join Synchronization Primitives.,A Complete Algebraic Characterization of Behavioral Subtyping.
1263,Performance Evaluation of Fork and Join Synchronization Primitives.,Concurrent Bisimulations in Petri Nets.
1264,Performance Evaluation of Fork and Join Synchronization Primitives.,MAT learners for tree series: an abstract data type and two realizations.
1265,Performance Evaluation of Fork and Join Synchronization Primitives.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
1266,Performance Evaluation of Fork and Join Synchronization Primitives.,On Removing the Machine from the Language.
1267,Performance Evaluation of Fork and Join Synchronization Primitives.,The Parsing Problem for Affix Grammars.
1268,Some properties of the disjunctive languages contained in ,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
1269,Some properties of the disjunctive languages contained in ,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
1270,Some properties of the disjunctive languages contained in ,A general account of coinduction up-to.
1271,Some properties of the disjunctive languages contained in ,Stochastic cooperative distributed grammar systems and random graphs.
1272,Some properties of the disjunctive languages contained in ,NP-complete Problems Simplified on Tree Schemas.
1273,Some properties of the disjunctive languages contained in ,Calculi for Interaction.
1274,Some properties of the disjunctive languages contained in ,The Parsing Problem for Affix Grammars.
1275,Some properties of the disjunctive languages contained in ,Inductive Completion with Retracts.
1276,Systolic Automata for VLSI on Balanced Trees.,Special issue: Synthesis and SYNT 2014.
1277,Systolic Automata for VLSI on Balanced Trees.,Weakly Context-Sensitive Languages as Model for Programming Languages.
1278,Systolic Automata for VLSI on Balanced Trees.,Rules of Inference for Procedure Calls.
1279,Systolic Automata for VLSI on Balanced Trees.,Gobang ist PSPACE-vollständig.
1280,Systolic Automata for VLSI on Balanced Trees.,How to Calculate Symmetries of Petri Nets.
1281,Systolic Automata for VLSI on Balanced Trees.,An Efficiency Preorder for Processes.
1282,Systolic Automata for VLSI on Balanced Trees.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
1283,Systolic Automata for VLSI on Balanced Trees.,Complexity Theory and the Operational Structure of Algebraic Programming Systems.
1284,Systolic Automata for VLSI on Balanced Trees.,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
1285,Systolic Automata for VLSI on Balanced Trees.,Merged processes: a new condensed representation of Petri net behaviour.
1286,Systolic Automata for VLSI on Balanced Trees.,Branching Processes in the Analysis of the Heights of Trees.
1287,Systolic Automata for VLSI on Balanced Trees.,Least Upper Bound on the Cost of Optimum Binary Search Trees.
1288,Systolic Automata for VLSI on Balanced Trees.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
1289,Systolic Automata for VLSI on Balanced Trees.,Attribute (Re)evaluation in OPTRAN.
1290,A new natural structural congruence in the pi-calculus with replication.,Weakly Context-Sensitive Languages as Model for Programming Languages.
1291,A new natural structural congruence in the pi-calculus with replication.,Rules of Inference for Procedure Calls.
1292,A new natural structural congruence in the pi-calculus with replication.,A Conservation Law for G/G/m Queueing Systems.
1293,A new natural structural congruence in the pi-calculus with replication.,Some properties of the disjunctive languages contained in 
1294,A new natural structural congruence in the pi-calculus with replication.,Optimal Multiprogramming.
1295,A new natural structural congruence in the pi-calculus with replication.,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
1296,A new natural structural congruence in the pi-calculus with replication.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
1297,A new natural structural congruence in the pi-calculus with replication.,Eliminating Unit Productions from LR Parsers.
1298,Optimal Multiprogramming.,Weakly Context-Sensitive Languages as Model for Programming Languages.
1299,Optimal Multiprogramming.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
1300,Optimal Multiprogramming.,A Note on Synthesis and Classification of Sorting Algorithms.
1301,Optimal Multiprogramming.,A first step in characterizing three-element codes.
1302,Optimal Multiprogramming.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
1303,Optimal Multiprogramming.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
1304,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,An Efficiency Preorder for Processes.
1305,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.
1306,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
1307,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,The Lattice of Data Refinement.
1308,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,A first step in characterizing three-element codes.
1309,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,A theory of structural stationarity in the 
1310,On Real-Time Cellular Automata and Trellis Automata.,Probabilistic bisimulation for realistic schedulers.
1311,On Real-Time Cellular Automata and Trellis Automata.,Variance Reduction Techniques for the Simulation of Markov Process.
1312,On Real-Time Cellular Automata and Trellis Automata.,Algorithms for Fast Evaluation of Boolean Expressions.
1313,On Real-Time Cellular Automata and Trellis Automata.,Reasoning Algebraically about Loops.
1314,On Real-Time Cellular Automata and Trellis Automata.,"Semantics, calculi, and analysis for object-oriented specifications."
1315,On Real-Time Cellular Automata and Trellis Automata.,Priority Conflict-Free Petri Nets.
1316,On Real-Time Cellular Automata and Trellis Automata.,Correctness of the Compiling Process Based on Axiomatic Semantics.
1317,On Real-Time Cellular Automata and Trellis Automata.,Pattern Matching in Trees and Nets.
1318,On Real-Time Cellular Automata and Trellis Automata.,Maximum Entropy and the 
1319,On Real-Time Cellular Automata and Trellis Automata.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
1320,On Real-Time Cellular Automata and Trellis Automata.,On Removing the Machine from the Language.
1321,On Real-Time Cellular Automata and Trellis Automata.,Complete Parameterized Families of Job Scheduling Strategies.
1322,On Real-Time Cellular Automata and Trellis Automata.,Contextual Nets.
1323,On Real-Time Cellular Automata and Trellis Automata.,Domain Independence and the Relational Calculus.
1324,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,Rules of Inference for Procedure Calls.
1325,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,Data Refinement by Calculation.
1326,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,Reasoning Algebraically about Loops.
1327,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,Inhibitionsfelder.
1328,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
1329,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,"Invariants, Composition, and Substitution."
1330,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
1331,Performance Preorder and Competitive Equivalence.,How to Calculate Symmetries of Petri Nets.
1332,Performance Preorder and Competitive Equivalence.,Concurrent Access to Data.
1333,Performance Preorder and Competitive Equivalence.,Paramodulated Connection Graphs.
1334,Performance Preorder and Competitive Equivalence.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
1335,Performance Preorder and Competitive Equivalence.,COSY - A System Specification Language Based on Paths and Processes.
1336,A Survey of Normal Form Covers for Context Free Grammars.,A Complete Algebraic Characterization of Behavioral Subtyping.
1337,A Survey of Normal Form Covers for Context Free Grammars.,Probabilistic bisimulation for realistic schedulers.
1338,A Survey of Normal Form Covers for Context Free Grammars.,Variance Reduction Techniques for the Simulation of Markov Process.
1339,A Survey of Normal Form Covers for Context Free Grammars.,On the Synchronization in Parallel Communicating Grammar Systems.
1340,A Survey of Normal Form Covers for Context Free Grammars.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
1341,A Survey of Normal Form Covers for Context Free Grammars.,A theory of formal synthesis via inductive learning.
1342,A Survey of Normal Form Covers for Context Free Grammars.,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.
1343,A Survey of Normal Form Covers for Context Free Grammars.,A Conservation Law for G/G/m Queueing Systems.
1344,A Survey of Normal Form Covers for Context Free Grammars.,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
1345,A Survey of Normal Form Covers for Context Free Grammars.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
1346,A Survey of Normal Form Covers for Context Free Grammars.,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.
1347,A Survey of Normal Form Covers for Context Free Grammars.,A Principle of Independence for Binary Tree Searching.
1348,A Survey of Normal Form Covers for Context Free Grammars.,Head and state hierarchies for unary multi-head finite automata.
1349,A Survey of Normal Form Covers for Context Free Grammars.,Priority Conflict-Free Petri Nets.
1350,A Survey of Normal Form Covers for Context Free Grammars.,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.
1351,A Survey of Normal Form Covers for Context Free Grammars.,A Survey of Normal Form Covers for Context Free Grammars.
1352,A Survey of Normal Form Covers for Context Free Grammars.,Complexity Theory and the Operational Structure of Algebraic Programming Systems.
1353,A Survey of Normal Form Covers for Context Free Grammars.,On the Power of Chain Rules in Context Free Grammars.
1354,A Survey of Normal Form Covers for Context Free Grammars.,A Workload Model Representative of Static and Dynamic Characteristics.
